TIME,cog_x,cog_y
1652890044354808092,0.0009,0.0002
1652890044387892007,0.0019,0.0005
1652890044424127101,0.0019,0.0005
1652890044493119001,0.0021,0.0007
1652890044543071985,0.0010,-0.0002
1652890044596357107,0.0017,0.0008
1652890044629473924,0.0023,0.0011
1652890044668299913,0.0026,0.0017
1652890044721127033,0.0023,0.0011
1652890044768110990,0.0022,0.0013
1652890044816855907,0.0027,0.0015
1652890044872118949,0.0033,0.0003
1652890044923641920,0.0023,0.0010
1652890044977535963,0.0025,0.0010
1652890045021703004,0.0027,0.0011
1652890045066580057,0.0030,0.0005
1652890045131161928,0.0037,0.0012
1652890045165189981,0.0029,0.0008
1652890045218981981,0.0034,0.0002
1652890045271581888,0.0034,0.0005
1652890045324117898,0.0026,0.0000
1652890045370273113,0.0020,0.0009
1652890045423660039,0.0020,0.0001
1652890045476517915,0.0026,0.0004
1652890045523802995,0.0019,-0.0004
1652890045575773954,0.0017,0.0001
1652890045623532056,0.0017,0.0001
1652890045674801111,0.0017,0.0001
1652890045724941968,0.0017,0.0001
1652890045767791032,0.0017,0.0001
1652890045821521997,0.0017,0.0001
1652890045873239994,0.0017,0.0001
1652890045925519943,0.0017,0.0001
1652890045981312036,0.0017,0.0001
1652890046032299041,0.0017,0.0001
1652890046079284906,0.0017,0.0001
1652890046118375062,0.0017,0.0001
1652890046174541950,0.0017,0.0001
1652890046224591016,0.0017,0.0001
1652890046268853902,0.0017,0.0001
1652890046319727897,0.0017,0.0001
1652890046369476079,0.0017,0.0001
1652890046421325922,0.0017,0.0001
1652890046471522092,0.0017,0.0001
1652890046522933959,0.0017,0.0001
1652890046573894023,0.0017,0.0001
1652890046624254941,0.0017,0.0001
1652890046671792030,0.0017,0.0001
1652890046746984004,0.0017,0.0001
1652890046778672933,0.0018,-0.0003
1652890046831275939,0.0034,0.0009
1652890046875931024,0.0041,0.0007
1652890046923399925,0.0027,-0.0000
1652890046972714900,0.0027,0.0001
1652890047028872966,0.0024,-0.0000
1652890047074480056,0.0027,0.0001
1652890047124851942,0.0028,0.0000
1652890047174726009,0.0024,-0.0003
1652890047222145080,0.0028,0.0000
1652890047272767066,0.0025,-0.0000
1652890047323007106,0.0024,-0.0002
1652890047376898050,0.0025,-0.0000
1652890047421936035,0.0034,-0.0002
1652890047470474958,0.0031,0.0004
1652890047527556896,0.0032,0.0007
1652890047578911066,0.0026,0.0005
1652890047624864101,0.0029,0.0006
1652890047675201892,0.0031,0.0006
1652890047725895881,0.0030,0.0004
1652890047769572973,0.0032,0.0005
1652890047824839115,0.0030,0.0008
1652890047866401910,0.0038,0.0027
1652890047917834997,0.0032,0.0007
1652890047969448089,0.0034,0.0009
1652890048018091917,0.0034,0.0009
1652890048072743892,0.0030,0.0009
1652890048124490022,0.0029,0.0002
1652890048173938035,0.0027,0.0001
1652890048218128919,0.0038,0.0000
1652890048270266056,0.0038,0.0000
1652890048317138910,0.0037,0.0007
1652890048371814966,0.0032,0.0016
1652890048420464992,0.0046,0.0005
1652890048467989921,0.0042,0.0011
1652890048523062944,0.0036,0.0007
1652890048571527004,0.0028,-0.0002
1652890048624696969,0.0033,0.0006
1652890048675405025,0.0037,0.0004
1652890048723078966,0.0040,0.0001
1652890048776298999,0.0039,-0.0000
1652890048823446989,0.0041,0.0000
1652890048871973991,0.0041,-0.0002
1652890048916439056,0.0038,-0.0005
1652890048972958087,0.0038,-0.0005
1652890049025440931,0.0043,-0.0005
1652890049076621055,0.0042,-0.0001
1652890049127661943,0.0038,0.0010
1652890049176317930,0.0034,0.0013
1652890049222178936,0.0045,0.0003
1652890049276860952,0.0040,0.0006
1652890049322957038,0.0036,0.0006
1652890049374974966,0.0037,0.0005
1652890049430203914,0.0039,0.0007
1652890049471111059,0.0036,0.0005
1652890049524648904,0.0037,0.0004
1652890049572670936,0.0035,0.0006
1652890049615102052,0.0033,0.0005
1652890049664947986,0.0039,-0.0001
1652890049727855920,0.0043,-0.0010
1652890049772022008,0.0031,0.0007
1652890049820563077,0.0044,0.0003
1652890049868891000,0.0046,0.0003
1652890049921771049,0.0049,-0.0001
1652890049972079992,0.0047,-0.0001
1652890050019826889,0.0051,0.0005
1652890050072649955,0.0055,0.0004
1652890050122672080,0.0054,0.0007
1652890050177011013,0.0058,0.0010
1652890050221369028,0.0052,0.0004
1652890050276854991,0.0052,0.0005
1652890050325592994,0.0048,0.0002
1652890050370857000,0.0041,0.0001
1652890050418598890,0.0050,0.0006
1652890050474770069,0.0045,0.0003
1652890050524858951,0.0050,0.0007
1652890050574184894,0.0064,0.0006
1652890050619143009,0.0065,0.0005
1652890050668200969,0.0064,0.0012
1652890050722325086,0.0062,0.0014
1652890050772315025,0.0066,0.0007
1652890050827591896,0.0064,0.0015
1652890050874463081,0.0058,0.0013
1652890050929169893,0.0053,0.0011
1652890050975109100,0.0054,0.0010
1652890051024694919,0.0059,0.0014
1652890051074661970,0.0055,0.0011
1652890051124442100,0.0052,0.0013
1652890051175563097,0.0051,0.0012
1652890051223711013,0.0066,0.0015
1652890051271106958,0.0056,0.0011
1652890051321379899,0.0044,0.0011
1652890051374722003,0.0040,-0.0003
1652890051417159080,0.0056,0.0017
1652890051466190099,0.0057,0.0016
1652890051530644893,0.0053,0.0017
1652890051567436933,0.0059,0.0019
1652890051617789983,0.0052,0.0015
1652890051666555881,0.0055,0.0011
1652890051716710090,0.0052,0.0005
1652890051766978025,0.0055,0.0001
1652890051816468954,0.0050,0.0002
1652890051866430997,0.0053,0.0004
1652890051919271945,0.0052,-0.0004
1652890051970535993,0.0035,-0.0003
1652890052020736932,0.0046,-0.0000
1652890052074603080,0.0049,0.0002
1652890052119877099,0.0049,-0.0001
1652890052180341005,0.0051,0.0004
1652890052225311994,0.0056,0.0002
1652890052276341915,0.0060,0.0011
1652890052320111989,0.0069,0.0012
1652890052377130031,0.0068,0.0006
1652890052429128885,0.0068,0.0006
1652890052472218036,0.0063,0.0008
1652890052525366067,0.0070,0.0002
1652890052575136899,0.0064,0.0011
1652890052623711109,0.0067,0.0007
1652890052670357942,0.0066,0.0013
1652890052723200082,0.0068,0.0009
1652890052783936977,0.0069,0.0020
1652890052834678888,0.0069,0.0009
1652890052872128009,0.0067,0.0000
1652890052924674987,0.0063,0.0007
1652890052985744953,0.0066,0.0001
1652890053026047945,0.0065,0.0002
1652890053069770097,0.0067,0.0001
1652890053127633094,0.0069,0.0001
1652890053176086902,0.0071,0.0001
1652890053226294994,0.0067,-0.0000
1652890053280396938,0.0055,-0.0008
1652890053327604055,0.0054,0.0001
1652890053372509002,0.0055,-0.0004
1652890053421561956,0.0050,-0.0003
1652890053478297948,0.0057,0.0009
1652890053520530939,0.0057,0.0001
1652890053565665006,0.0067,0.0003
1652890053621599912,0.0061,0.0006
1652890053678590059,0.0053,0.0005
1652890053725142955,0.0057,0.0006
1652890053766824007,0.0061,0.0001
1652890053821707963,0.0044,0.0010
1652890053873718023,0.0053,0.0006
1652890053926060914,0.0056,0.0002
1652890053979579925,0.0051,0.0005
1652890054033571004,0.0051,0.0012
1652890054080549001,0.0060,0.0005
1652890054129281044,0.0056,0.0002
1652890054184127092,0.0053,0.0004
1652890054235711097,0.0048,-0.0003
1652890054273022890,0.0055,0.0002
1652890054324373006,0.0058,-0.0001
1652890054374584913,0.0051,0.0002
1652890054420835971,0.0051,0.0001
1652890054467153072,0.0060,0.0001
1652890054523682117,0.0058,0.0002
1652890054565890073,0.0058,0.0000
1652890054617297887,0.0056,-0.0003
1652890054669018983,0.0058,0.0001
1652890054715691089,0.0066,-0.0003
1652890054766537904,0.0063,-0.0005
1652890054815900087,0.0061,0.0000
1652890054866620063,0.0061,-0.0001
1652890054915646076,0.0065,0.0001
1652890054964507102,0.0058,-0.0004
1652890055016567945,0.0056,-0.0002
1652890055074127912,0.0060,0.0002
1652890055126880884,0.0059,0.0004
1652890055171971082,0.0059,0.0004
1652890055216366052,0.0057,0.0004
1652890055266191005,0.0061,-0.0003
1652890055317399978,0.0051,0.0011
1652890055367778062,0.0063,-0.0008
1652890055416860103,0.0056,-0.0006
1652890055466310977,0.0060,0.0004
1652890055516077041,0.0060,0.0004
1652890055565572023,0.0060,0.0004
1652890055615144968,0.0060,0.0004
1652890055666860103,0.0060,0.0004
